time,open,high,low,close,volume
1503288000,29.24,29.24,0,0,1
1503374400,49.04,49.04,0,0,2
1503460800,14.32,14.32,0,0,1
1503547200,17.08,17.08,0,0,1
1503633600,12.53,12.53,0,0,1
1503892800,53.45,53.45,0,0,3
1504065600,52.03,52.03,0,0,3
1504152000,57.95,57.95,0,0,3
1504238400,40.35,40.35,0,0,2
1504584000,52.69,52.69,0,0,3
1504670400,42.04,42.04,0,0,2
1504756800,43.89,43.89,0,0,2
1504843200,51.12,51.12,0,0,3
1505102400,35.36,35.36,0,0,2
1505188800,38.95,38.95,0,0,2
1505275200,42.37,42.37,0,0,2
1505361600,35.85,35.85,0,0,2
1505448000,38.21,38.21,0,0,2
1505707200,14.47,14.47,0,0,1
1505793600,14.51,14.51,0,0,1
1505880000,50.27,50.27,0,0,3
1505966400,39.47,39.47,0,0,2
1506052800,15.8,15.8,0,0,1
1506312000,52.9,52.9,0,0,3
1506398400,21.44,21.44,0,0,1
1506484800,30.16,30.16,0,0,2
1506571200,34.83,34.83,0,0,2
1506657600,27.63,27.63,0,0,1
1506916800,27.93,27.93,0,0,1
1507003200,18.55,18.55,0,0,1
1507089600,12.81,12.81,0,0,1
1507176000,21.75,21.75,0,0,1
1507262400,51.74,51.74,0,0,3
1507521600,24.79,24.79,0,0,1
1507608000,29.31,29.31,0,0,1
1507694400,20.17,20.17,0,0,1
1507780800,10.12,10.12,0,0,1
1507867200,23.64,23.64,0,0,1
1508126400,26.82,26.82,0,0,1
1508212800,27.1,27.1,0,0,1
1508299200,20.73,20.73,0,0,1
1508385600,18.43,18.43,0,0,1
1508472000,33.15,33.15,0,0,2
1508731200,38.65,38.65,0,0,2
1508817600,7.31,7.31,0,0,1
1508904000,54.94,54.94,0,0,3
1508990400,36.38,36.38,0,0,2
1509076800,48.53,48.53,0,0,2
1509336000,7.87,7.87,0,0,1
1509422400,2.71,2.71,0,0,1
1509508800,26.76,26.76,0,0,1
1509595200,10.24,10.24,0,0,1
1509681600,67.58,67.58,0,0,3
1509944400,43.95,43.95,0,0,2
1510030800,61.34,61.34,0,0,3
1510117200,57.81,57.81,0,0,3
1510203600,43.72,43.72,0,0,2
1510290000,67.36,67.36,0,0,3
1510549200,13.31,13.31,0,0,1
1510635600,46.78,46.78,0,0,2
1510722000,50.08,50.08,0,0,3
1510808400,66.12,66.12,0,0,3
1510894800,39.75,39.75,0,0,2
1511154000,25.32,25.32,0,0,1
1511240400,56.05,56.05,0,0,3
1511326800,61.01,61.01,0,0,3
1511499600,10.86,10.86,0,0,1
1511758800,59.78,59.78,0,0,3
1511845200,45.27,45.27,0,0,2
1511931600,52.3,52.3,0,0,3
1512018000,66.48,66.48,0,0,3
1512104400,45.6,45.6,0,0,2
1512363600,51.13,51.13,0,0,3
1512450000,64.18,64.18,0,0,3
1512536400,68.13,68.13,0,0,3
1512622800,38.61,38.61,0,0,2
1512709200,67.44,67.44,0,0,3
1512968400,20.76,20.76,0,0,1
1513054800,17.14,17.14,0,0,1
1513141200,35.93,35.93,0,0,2
1513227600,20.98,20.98,0,0,1
1513314000,45.95,45.95,0,0,2
1513573200,41.07,41.07,0,0,2
1513659600,67.82,67.82,0,0,3
1513746000,55.29,55.29,0,0,3
1513832400,34.66,34.66,0,0,2
1513918800,8.64,8.64,0,0,1
1514264400,38.5,38.5,0,0,2
1514350800,30.78,30.78,0,0,2
1514437200,28.83,28.83,0,0,1
1514523600,48.76,48.76,0,0,2
1514869200,70.73,70.73,0,0,4
1514955600,36.43,36.43,0,0,2
1515042000,60.26,60.26,0,0,3
1515128400,28.37,28.37,0,0,1
1515387600,34.91,34.91,0,0,2
1515474000,52.73,52.73,0,0,3
1515560400,53.05,53.05,0,0,3
1515646800,39.59,39.59,0,0,2
1515733200,54.39,54.39,0,0,3
1516078800,28.15,28.15,0,0,1
1516165200,48.28,48.28,0,0,2
1516251600,40.21,40.21,0,0,2
1516338000,50.99,50.99,0,0,3
1516597200,24.2,24.2,0,0,1
1516683600,33.45,33.45,0,0,2
1516770000,51.06,51.06,0,0,3
1516856400,36.07,36.07,0,0,2
1516942800,50.98,50.98,0,0,3
1517202000,48.84,48.84,0,0,2
1517288400,52.39,52.39,0,0,3
1517374800,63.49,63.49,0,0,3
1517461200,62.35,62.35,0,0,3
1517547600,70.35,70.35,0,0,4
1517806800,75.79,75.79,0,0,4
1517893200,81.82,81.82,0,0,4
1517979600,66.93,66.93,0,0,3
1518066000,67.39,67.39,0,0,3
1518152400,75.09,75.09,0,0,4
1518411600,55.58,55.58,0,0,3
1518498000,42.76,42.76,0,0,2
1518584400,67.19,67.19,0,0,3
1518670800,55.4,55.4,0,0,3
1518757200,54.45,54.45,0,0,3
1519102800,51.63,51.63,0,0,3
1519189200,27.12,27.12,0,0,1
1519275600,47.78,47.78,0,0,2
1519362000,49.91,49.91,0,0,2
1519621200,8.77,8.77,0,0,1
1519707600,48.61,48.61,0,0,2
1519794000,66.65,66.65,0,0,3
1519880400,60.64,60.64,0,0,3
1519966800,69.28,69.28,0,0,3
1520226000,46.36,46.36,0,0,2
1520312400,33.06,33.06,0,0,2
1520398800,13.23,13.23,0,0,1
1520485200,25.77,25.77,0,0,1
1520571600,41.48,41.48,0,0,2
1520827200,18.93,18.93,0,0,1
1520913600,8.07,8.07,0,0,1
1521000000,41.54,41.54,0,0,2
1521086400,26.16,26.16,0,0,1
1521172800,47.85,47.85,0,0,2
1521432000,18.26,18.26,0,0,1
1521518400,36.09,36.09,0,0,2
1521604800,50.64,50.64,0,0,3
1521691200,47.97,47.97,0,0,2
1521777600,53.89,53.89,0,0,3
1522036800,61.5,61.5,0,0,3
1522123200,57.56,57.56,0,0,3
1522209600,69.13,69.13,0,0,3
